Ativo?,Nome Comercial,"Unidade Conversão 
[ Cálculo Custo ]","Unidade Conversão 
[ Cálculo Custo ]","Custo Considerado
[ Convertido p/ Un ]","Custo Atualizado
[ Convertido p/ Un ]",Nome Simples e Unitário,Tipo,Fornecedor Padrão
FALSE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
TRUE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
